row_id,appendix_table,source_group,descriptive_name,author_market_code,appendix_exchange,appendix_currency,appendix_multiplier,prior_databento_candidate,locked_databento_candidate,databento_dataset,official_product_code,official_product_name,official_venue,official_currency,official_multiplier_point_value_evidence,listed_contract_cycle_evidence,official_static_sources,alias_mapping_result,remaining_blocker,market_row_access_status,ohlcv_download_authorized,strategy_use_status,substitution_policy,notes
APPENDIX_C_173_001,173,Other bond and interest rate futures,10-year French (OAT),OAT,DTB,EUR,1000,FOAT.c.0,FOAT.c.0,XEUR.EOBI,FOAT,Euro-OAT Futures,Eurex,EUR,"Eurex contract value EUR 100000; percent price quotation implies EUR 1000 per 1 point","Eurex fixed-income contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/ex-en/markets/int/fix/government-bonds/Short-Term-Euro-BTP-Futures-42076; https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf",ALIAS_EQUIVALENCE_RESOLVED_STATIC_PRE_REAL_DATA,REQUIRES_DATABENTO_CONTRACT_IDENTITY_AND_DATED_CONTRACT_SELECTION_GATE,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Author OAT maps to Eurex product code FOAT for the same 10-year French OAT futures family.
APPENDIX_C_173_002,173,Other bond and interest rate futures,2-year German (Schatz),GBS,DTB,EUR,1000,FGBS.c.0,FGBS.c.0,XEUR.EOBI,FGBS,Euro-Schatz Futures,Eurex,EUR,"Eurex contract value EUR 100000; percent price quotation implies EUR 1000 per 1 point","Eurex fixed-income contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/ex-en/markets/int/fix/government-bonds/Short-Term-Euro-BTP-Futures-42076; https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf",ALIAS_EQUIVALENCE_RESOLVED_STATIC_PRE_REAL_DATA,REQUIRES_DATABENTO_CONTRACT_IDENTITY_AND_DATED_CONTRACT_SELECTION_GATE,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Author GBS maps to Eurex product code FGBS for the same German Schatz futures family.
APPENDIX_C_173_003,173,Other bond and interest rate futures,5-year German (Bobl),GBM,DTB,EUR,1000,FGBM.c.0,FGBM.c.0,XEUR.EOBI,FGBM,Euro-Bobl Futures,Eurex,EUR,"Eurex contract value EUR 100000; percent price quotation implies EUR 1000 per 1 point","Eurex fixed-income contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/ex-en/markets/int/fix/government-bonds/Short-Term-Euro-BTP-Futures-42076; https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf",ALIAS_EQUIVALENCE_RESOLVED_STATIC_PRE_REAL_DATA,REQUIRES_DATABENTO_CONTRACT_IDENTITY_AND_DATED_CONTRACT_SELECTION_GATE,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Author GBM maps to Eurex product code FGBM for the same German Bobl futures family.
APPENDIX_C_173_005,173,Other bond and interest rate futures,20-year German (Buxl),GBX,DTB,EUR,1000,FGBX.c.0,FGBX.c.0,XEUR.EOBI,FGBX,Euro-Buxl Futures,Eurex,EUR,"Eurex contract value EUR 100000; percent price quotation implies EUR 1000 per 1 point","Eurex fixed-income contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/ex-en/markets/int/fix/government-bonds/Short-Term-Euro-BTP-Futures-42076; https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf",ALIAS_EQUIVALENCE_RESOLVED_STATIC_PRE_REAL_DATA,REQUIRES_DATABENTO_CONTRACT_IDENTITY_AND_DATED_CONTRACT_SELECTION_GATE,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Author GBX maps to Eurex product code FGBX for the same German Buxl futures family.
APPENDIX_C_173_006,173,Other bond and interest rate futures,3-year Italian (BTP),BTS,DTB,EUR,1000,FBTS.c.0,FBTS.c.0,XEUR.EOBI,FBTS,Short-Term Euro-BTP Futures,Eurex,EUR,"Eurex contract value EUR 100000; percent price quotation implies EUR 1000 per 1 point","Eurex fixed-income contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/ex-en/markets/int/fix/government-bonds/Short-Term-Euro-BTP-Futures-42076; https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf",ALIAS_EQUIVALENCE_RESOLVED_STATIC_PRE_REAL_DATA,REQUIRES_DATABENTO_CONTRACT_IDENTITY_AND_DATED_CONTRACT_SELECTION_GATE,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Author BTS maps to Eurex product code FBTS for the same short-term Italian BTP futures family.
APPENDIX_C_173_007,173,Other bond and interest rate futures,10-year Italian (BTP),BTP,DTB,EUR,1000,FBTP.c.0,FBTP.c.0,XEUR.EOBI,FBTP,Long-Term Euro-BTP Futures,Eurex,EUR,"Eurex contract value EUR 100000; percent price quotation implies EUR 1000 per 1 point","Eurex fixed-income contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/ex-en/markets/int/fix/government-bonds/Short-Term-Euro-BTP-Futures-42076; https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf",ALIAS_EQUIVALENCE_RESOLVED_STATIC_PRE_REAL_DATA,REQUIRES_DATABENTO_CONTRACT_IDENTITY_AND_DATED_CONTRACT_SELECTION_GATE,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Author BTP maps to Eurex product code FBTP for the same long-term Italian BTP futures family.
APPENDIX_C_175_004,175,European equity index futures,Swiss SMI,SMI,SOFFEX,EUR,10,FSMI.c.0,FSMI.c.0,XEUR.EOBI,FSMI,SMI Futures,Eurex/SIX Swiss index derivative,CHF,"Official SMI futures point value is CHF 10; Appendix C lock records EUR 10","Eurex SMI contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/ex-en/markets/idx/country/six/Micro-SMI-Futures-2615500; https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf",ALIAS_PRODUCT_FAMILY_IDENTIFIED_BUT_FAIL_CLOSED_CURRENCY_AND_VENUE_NORMALIZATION_REQUIRED,APPENDIX_C_CURRENCY_EUR_CONFLICTS_WITH_OFFICIAL_CHF_AND_SOURCE_EXCHANGE_SOFFEX_NEEDS_EUREX_SIX_NORMALIZATION,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,FSMI is the official SMI futures product code but full alias lock is withheld because currency and venue normalization are not clean.
APPENDIX_C_175_005,175,European equity index futures,EU DJ Small cap 200,DJ200S,DTB,EUR,50,FXXS.c.0,FSCP.c.0,XEUR.EOBI,FSCP,STOXX Europe Small 200 Index Futures,Eurex,EUR,"Eurex STOXX Europe Small 200 futures point value evidence matches EUR 50 source multiplier semantics","Eurex STOXX Europe 600 size-index product family and contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/ex-en/markets/idx/stx/stoxx-europe-600; https://www.eurex.com/ex-en/markets/idx/stx/stoxx-europe-600/products; https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf",ALIAS_EQUIVALENCE_RESOLVED_WITH_CORRECTED_DATABENTO_CANDIDATE_STATIC_PRE_REAL_DATA,REQUIRES_DATABENTO_CONTRACT_IDENTITY_AND_DATED_CONTRACT_SELECTION_GATE; PRIOR_FXXS_CANDIDATE_SUPERSEDED_NOT_ALLOWED,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Prior FXXS candidate is not the Small 200 product; corrected static candidate is FSCP.c.0.
APPENDIX_C_175_007,175,European equity index futures,EU STOXX 600,DJ600,DTB,EUR,50,FXXP.c.0,FXXP.c.0,XEUR.EOBI,FXXP,STOXX Europe 600 Index Futures,Eurex,EUR,"Eurex STOXX Europe 600 futures point value evidence matches EUR 50 source multiplier semantics","Eurex STOXX Europe 600 contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/ex-en/markets/idx/stx/stoxx-europe-600; https://www.eurex.com/ex-en/markets/idx/stx/stoxx-europe-600/products/STOXX-Europe-600-Index-Futures-41978; https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf",ALIAS_EQUIVALENCE_RESOLVED_STATIC_PRE_REAL_DATA,REQUIRES_DATABENTO_CONTRACT_IDENTITY_AND_DATED_CONTRACT_SELECTION_GATE,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Author DJ600 maps to Eurex product code FXXP for the STOXX Europe 600 futures family.
APPENDIX_C_175_008,175,European equity index futures,EUROSTOXX 50,ESTX50,DTB,EUR,10,FESX.c.0,FESX.c.0,XEUR.EOBI,FESX,EURO STOXX 50 Index Futures,Eurex,EUR,"Eurex EURO STOXX 50 futures point value evidence matches EUR 10 source multiplier semantics","Eurex equity-index contract cycle evidence present; dated contract selection still separate","https://www.eurex.com/resource/blob/1637254/8b6e52b183d4d1390dbfb17ea2feb4a0/data/2026_05_25_eurex_d_kontraktspezifikationen%20_en.pdf; https://www.eurex.com/ex-en/markets/idx/stx",ALIAS_EQUIVALENCE_RESOLVED_STATIC_PRE_REAL_DATA,REQUIRES_DATABENTO_CONTRACT_IDENTITY_AND_DATED_CONTRACT_SELECTION_GATE,NO_MARKET_ROW_ACCESS,NO,NOT_STRATEGY_INPUT_NOT_BACKTEST_READY,FAIL_CLOSED_NO_DROP_NO_SUBSTITUTE_NO_REWEIGHT,Author ESTX50 maps to Eurex product code FESX for the EURO STOXX 50 futures family.
