gate,lane,component,cost_readiness_status,lockbox_effect,notes
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,cost_manifest_defined,PASS_DEFINED_NOT_EXECUTED,DOES_NOT_CLOSE_COST_READINESS_BY_ITSELF,Existing manifest is present but not a cost execution.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,exchange_fee,FAIL_CLOSED_STATIC_FEE_EVIDENCE_NOT_LOCKED,BLOCKS_LOCKBOX_OPENING,No audited exchange-fee evidence or execution ledger is present.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,clearing_nfa_regulatory_fee,FAIL_CLOSED_STATIC_FEE_EVIDENCE_NOT_LOCKED,BLOCKS_LOCKBOX_OPENING,No audited clearing/NFA/regulatory fee evidence is present.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,broker_commission,FAIL_CLOSED_ACCOUNT_OR_PUBLIC_STATIC_SOURCE_NOT_LOCKED,BLOCKS_LOCKBOX_OPENING,No broker-specific futures commission lock is present.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,zn_tick_value_and_multiplier,FAIL_CLOSED_CONTRACT_SPEC_REASSERTION_REQUIRED_FOR_LOCKBOX_COST,BLOCKS_LOCKBOX_OPENING,"Prior mechanics used ZN multiplier, but Lockbox cost readiness requires explicit static cost-spec reassertion."
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,spread_slippage_grid,FAIL_CLOSED_SCENARIO_GRID_DEFINED_NOT_EXECUTED,BLOCKS_LOCKBOX_OPENING,Scenario grid is defined but not applied to unit and M1 variants.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,limit_order_fill_model,FAIL_CLOSED_FILL_MODEL_DEFINED_NOT_EXECUTED,BLOCKS_LOCKBOX_OPENING,Carver fast mean reversion limit-order semantics are not executable for Lockbox yet.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,routing_and_margin_funding,FAIL_CLOSED_DISPOSITION_NOT_LOCKED,BLOCKS_LOCKBOX_OPENING,Routing and margin/funding treatment is not locked.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,breakeven_cost_per_side,FAIL_CLOSED_NOT_COMPUTED_WITH_FUTURES_REALISTIC_COSTS,BLOCKS_LOCKBOX_OPENING,Breakeven cost per side has not been computed under locked futures costs.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,unit_and_m1_ladder_cost_sensitivity,FAIL_CLOSED_NOT_EXECUTED,BLOCKS_LOCKBOX_OPENING,Unit/no-ladder and M1 ladder variants have not been sensitivity-tested under futures-realistic costs.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,cfd_or_prop_adapter_substitution,PASS_REJECTED_REQUIRES_SEPARATE_ADAPTER_GATE,DOES_NOT_CLOSE_COST_READINESS_BY_ITSELF,No CFD/prop costs may substitute for source-native futures costs.
