provider,dataset_or_doc_scope,book_symbol_or_family,capability_question,static_source_reference,evidence_status,provider_api_access,provider_login,market_data_download,continuous_contract_download,market_row_parsing,strategy_use_status,blocker
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZT,continuous availability,Databento standards/conventions and continuous futures example,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZT,symbol syntax,Databento continuous symbology format [ROOT].[ROLL_RULE].[RANK],EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZT,adjustment policy,"Databento continuous docs state continuous prices are original/unadjusted, not back-adjusted",EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZT,roll rule,Databento continuous docs identify calendar/open-interest/volume roll-rule codes c/n/v,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZT,lineage,Databento docs say continuous maps to a tradable instrument by date; no local continuous-row-to-dated-row lineage artifact exists,EVIDENCE_BLOCKED_LINEAGE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,CONTINUOUS_ROW_LINEAGE_LEDGER_NOT_CREATED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZT,ohlcv-1d close/settlement,Databento schema docs describe OHLCV as trade-aggregated bars and statistics as official settlements/open interest,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,OHLCV_CLOSE_VERSUS_OFFICIAL_SETTLEMENT_POLICY_NOT_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZT,definition metadata,Databento definition docs identify point-in-time instrument definitions with expiration/listing/tick fields,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,FIRST_NOTICE_DELIVERY_AND_PRODUCT_FAMILY_RULEBOOK_FIELDS_NOT_FULLY_LOCKED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZT,condition metadata,Databento portal docs describe condition support files and equivalent metadata dataset-condition endpoint,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZT,settlement source,Databento schema docs identify statistics as official daily instrument statistics including settlement fields,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,STATISTICS_OR_OFFICIAL_SETTLEMENT_SOURCE_NOT_EXECUTED_OR_POLICY_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZF,continuous availability,Databento standards/conventions and continuous futures example,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZF,symbol syntax,Databento continuous symbology format [ROOT].[ROLL_RULE].[RANK],EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZF,adjustment policy,"Databento continuous docs state continuous prices are original/unadjusted, not back-adjusted",EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZF,roll rule,Databento continuous docs identify calendar/open-interest/volume roll-rule codes c/n/v,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZF,lineage,Databento docs say continuous maps to a tradable instrument by date; no local continuous-row-to-dated-row lineage artifact exists,EVIDENCE_BLOCKED_LINEAGE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,CONTINUOUS_ROW_LINEAGE_LEDGER_NOT_CREATED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZF,ohlcv-1d close/settlement,Databento schema docs describe OHLCV as trade-aggregated bars and statistics as official settlements/open interest,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,OHLCV_CLOSE_VERSUS_OFFICIAL_SETTLEMENT_POLICY_NOT_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZF,definition metadata,Databento definition docs identify point-in-time instrument definitions with expiration/listing/tick fields,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,FIRST_NOTICE_DELIVERY_AND_PRODUCT_FAMILY_RULEBOOK_FIELDS_NOT_FULLY_LOCKED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZF,condition metadata,Databento portal docs describe condition support files and equivalent metadata dataset-condition endpoint,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZF,settlement source,Databento schema docs identify statistics as official daily instrument statistics including settlement fields,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,STATISTICS_OR_OFFICIAL_SETTLEMENT_SOURCE_NOT_EXECUTED_OR_POLICY_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZN,continuous availability,Databento standards/conventions and continuous futures example,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZN,symbol syntax,Databento continuous symbology format [ROOT].[ROLL_RULE].[RANK],EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZN,adjustment policy,"Databento continuous docs state continuous prices are original/unadjusted, not back-adjusted",EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZN,roll rule,Databento continuous docs identify calendar/open-interest/volume roll-rule codes c/n/v,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZN,lineage,Databento docs say continuous maps to a tradable instrument by date; no local continuous-row-to-dated-row lineage artifact exists,EVIDENCE_BLOCKED_LINEAGE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,CONTINUOUS_ROW_LINEAGE_LEDGER_NOT_CREATED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZN,ohlcv-1d close/settlement,Databento schema docs describe OHLCV as trade-aggregated bars and statistics as official settlements/open interest,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,OHLCV_CLOSE_VERSUS_OFFICIAL_SETTLEMENT_POLICY_NOT_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZN,definition metadata,Databento definition docs identify point-in-time instrument definitions with expiration/listing/tick fields,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,FIRST_NOTICE_DELIVERY_AND_PRODUCT_FAMILY_RULEBOOK_FIELDS_NOT_FULLY_LOCKED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZN,condition metadata,Databento portal docs describe condition support files and equivalent metadata dataset-condition endpoint,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,ZN,settlement source,Databento schema docs identify statistics as official daily instrument statistics including settlement fields,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,STATISTICS_OR_OFFICIAL_SETTLEMENT_SOURCE_NOT_EXECUTED_OR_POLICY_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MES,continuous availability,Databento standards/conventions and continuous futures example,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MES,symbol syntax,Databento continuous symbology format [ROOT].[ROLL_RULE].[RANK],EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MES,adjustment policy,"Databento continuous docs state continuous prices are original/unadjusted, not back-adjusted",EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MES,roll rule,Databento continuous docs identify calendar/open-interest/volume roll-rule codes c/n/v,EVIDENCE_READY_FOR_POLICY_DECISION,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,NONE_FOR_POLICY_DECISION_ONLY
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MES,lineage,Databento docs say continuous maps to a tradable instrument by date; no local continuous-row-to-dated-row lineage artifact exists,EVIDENCE_BLOCKED_LINEAGE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,CONTINUOUS_ROW_LINEAGE_LEDGER_NOT_CREATED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MES,ohlcv-1d close/settlement,Databento schema docs describe OHLCV as trade-aggregated bars and statistics as official settlements/open interest,EVIDENCE_BLOCKED_SETTLEMENT_CLOSE_UNCLEAR,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,OHLCV_CLOSE_VERSUS_OFFICIAL_SETTLEMENT_POLICY_NOT_DECIDED
DATABENTO,GLBX.MDP3_PUBLIC_STATIC_DOCUMENTATION_ONLY,MES,definition metadata,Databento definition docs identify point-in-time instrument definitions with expiration/listing/tick fields,EVIDENCE_PARTIAL_REQUIRES_MORE_STATIC_SOURCE,NO,NO,NO,NO,NO,BLOCKED_PENDING_CONTINUOUS_ROLL_POLICY,FIRST_NOTICE_DELIVERY_AND_PRODUCT_FAMILY_RULEBOOK_FIELDS_NOT_FULLY_LOCKED
