gate,lane,rule_id,locked_rule,rule_status,notes
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,variant_identity,S27_ZN_SOURCE_NATIVE_M1_LADDER_ONLY,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,"No symbol, parameter, ladder, or source-line change after this readiness freeze."
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,lane,SOURCE_NATIVE_FUTURES,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,Exactly one lane; no CFD_DIRECT or CFD_ADAPTER in Lockbox execution.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,window,POST_2026_05_22_UNTOUCHED_WINDOW_ONLY,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,"Exclude 2022-2023, 2024, and all dates touched by daily signal/runtime support history through 2026-05-22."
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,cost_precondition,FUTURES_REALISTIC_COST_READINESS_MUST_PASS_BEFORE_LOCKBOX,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,Current readiness decision blocks Lockbox until this is satisfied.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,primary_metric,SIGNAL_ATTRIBUTABLE_M1_MINUS_MATCHED_AVG_ABS_BETA_NET_OF_FUTURES_COSTS,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,Raw net PnL is secondary only.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,primary_threshold,PRIMARY_SIGNAL_ATTRIBUTABLE_NET_PNL_GT_0,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,Must hold after futures-realistic costs.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,mcpt_threshold,PRIMARY_NULL_P_LE_0_05_AND_MAX_T_ADJUSTED_P_LE_0_10,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,Same family-wise correction discipline as pre-Lockbox MCPT.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,secondary_sanity,NO_DELAYED_OR_INVERTED_SIGNAL_EXPLAINS_RESULT,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,Delayed and inverted/null contamination must remain non-explanatory.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,data_quality,NO_FILL_NO_DROP_NO_SUBSTITUTE_NORMAL_PROVIDER_CONDITION_ONLY,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,Any degraded/unresolved row fails closed before statistics.
S27_ZN_LOCKBOX_READINESS_DECISION_GATE,SOURCE_NATIVE_FUTURES,claim_boundary,LOCKBOX_RESULT_NOT_PROMOTION_NOT_TRADING,PREDECLARED_FOR_LATER_LOCKBOX_GATE_NOT_EXECUTED,"Pass, if ever achieved, authorizes no Forward/deployment/trading/promotion."
